Router
fra-decix-a99
fra-tc-a99
kar-rz-a99
stu-eti-a99
man-rz-1
man-schl-1
kar-nord-1
kar-rz-1
kar-bib-1
pfo-hs-1
stu-al30-1
stu-eti-1
hdl-rz-1
hdl-city-1
mos-dhbw-2
hlb-hs-1
mar-dla-1
lbg-ph-1
lbg-fa-1
kue-hs-1
shl-hs-2
sgd-ph-1
aal-hs-1
hdh-dhbw-1
ulm-n25-1
ulm-n26-1
gei-hs-1
goe-hs-1
ess-hs-1
nue-hs-1
reu-hs-1
tue-mor-1
tue-wae-1
rot-hs-1
kon-bib-1
kon-rz-1
frb-rz-1
frb-rz-2
frb-kg-1
loe-dhbw-1
ofg-hs-1
fuw-hs-1
vis-hs-1
tro-mh-1
tut-hs-1
keh-hs-1
fds-stw-1
hor-dhbw-1
boe-1
fdh-dhbw-1
rav-dhbw-1
wei-hs-1
bib-hs-1
alb-hs-1
sig-hs-1
